SURVEY_DATE,PRODUCT_ID,PRODUCT_NAME,,VAT,EXCISE,NET,CHANGE,PRICE
28-02-2005,3,Heating gas oil,,164.9,403.21,421.31,21.13,989.42
28-02-2005,5,LPG,,91.98,156.62,303.28,0,551.88
28-02-2005,6,Residual fuel oil,,52,166.84,353.13,4.96,571.97
28-02-2005,8,Heavy fuel oil,,0,31.39,226.78,15.33,258.17
07-03-2005,1,Euro-Super 95,,193.13,564,401.65,22.74,1158.78
07-03-2005,2,Automotive gas oil,,174.6,413,459.99,24.74,1047.59
07-03-2005,3,Heating gas oil,,168.67,403.21,440.17,22.63,1012.05
07-03-2005,5,LPG,,,156.62,303.69,0.49,552.37
07-03-2005,6,Residual fuel oil,,53.37,166.84,366.87,15.11,587.08
07-03-2005,8,Heavy fuel oil,,0,31.39,235.4,8.62,266.79
14-03-2005,1,Euro-Super 95,,197.65,564,424.25,27.12,1185.9
14-03-2005,2,Automotive gas oil,,178.79,413,480.93,25.13,1072.72
14-03-2005,3,Heating gas oil,,167.83,403.21,435.96,-5.05,1007
14-03-2005,5,LPG,,92.26,156.62,304.68,1.19,553.56
14-03-2005,6,Residual fuel oil,,53.38,166.84,366.98,0.12,587.2
14-03-2005,8,Heavy fuel oil,,0,31.39,241.7,6.3,273.09
21-03-2005,1,Euro-Super 95,,197.66,564,424.32,0.08,1185.98
21-03-2005,2,Automotive gas oil,,178.81,413,481.05,0.14,1072.86
21-03-2005,3,Heating gas oil,,169.15,403.21,442.54,7.9,1014.9
21-03-2005,5,LPG,,92.26,156.62,304.68,0,553.56
21-03-2005,6,Residual fuel oil,,53.57,166.84,368.87,2.08,589.28
21-03-2005,8,Heavy fuel oil,,0,31.39,245.47,3.77,276.86
04-04-2005,1,Euro-Super 95,,197.99,564,425.93,1.94,1187.92
04-04-2005,2,Automotive gas oil,,179.1,413,482.53,1.77,1074.63
04-04-2005,3,Heating gas oil,,170.86,403.21,451.08,10.25,1025.15
04-04-2005,5,LPG,,92.26,156.62,304.68,0,553.56
04-04-2005,6,Residual fuel oil,,54.83,166.84,381.5,13.89,603.17
04-04-2005,8,Heavy fuel oil,,0,31.39,258.39,12.92,289.78
11-04-2005,1,Euro-Super 95,,206.06,564,466.29,48.43,1236.35
11-04-2005,2,Automotive gas oil,,187.13,413,522.67,48.17,1122.8
11-04-2005,3,Heating gas oil,,171.81,403.21,455.82,5.69,1030.84
11-04-2005,5,LPG,,92.3,156.62,304.89,0.25,553.81
11-04-2005,6,Residual fuel oil,,55.29,166.84,,5.05,608.22
11-04-2005,8,Heavy fuel oil,,0,31.39,282.14,23.75,313.53
18-04-2005,1,Euro-Super 95,,206.06,564,466.29,0,1236.35
18-04-2005,2,Automotive gas oil,,187.13,413,522.67,0,1122.8
18-04-2005,3,Heating gas oil,,169.75,403.21,445.53,-12.35,1018.49
18-04-2005,5,LPG,,92.3,156.62,304.89,0,553.81
18-04-2005,6,Residual fuel oil,,54.8,166.84,381.13,-5.45,602.77
18-04-2005,8,Heavy fuel oil,,0,31.39,257.81,-24.33,289.2
25-04-2005,1,Euro-Super 95,,205.81,564,465.08,-1.46,1234.89
25-04-2005,2,Automotive gas oil,,186.91,413,521.54,-1.35,1121.45
25-04-2005,3,Heating gas oil,,169.35,403.21,443.52,-2.41,1016.08
25-04-2005,5,LPG,,92.3,156.62,304.89,0,553.81
25-04-2005,6,Residual fuel oil,,55.02,166.84,383.37,2.46,605.23
25-04-2005,8,Heavy fuel oil,,0,31.39,263.43,5.62,294.82
02-05-2005,1,Euro-Super 95,,205.81,564,465.08,0,1234.89
02-05-2005,2,Automotive gas oil,,182.15,413,497.77,-28.53,1092.92
02-05-2005,3,Heating gas oil,,168.06,403.21,437.1,-7.71,1008.37
02-05-2005,5,LPG,,92.2,156.62,304.38,-0.61,553.2
02-05-2005,6,Residual fuel oil,,54.57,166.84,378.87,-4.95,600.28
02-05-2005,8,Heavy fuel oil,,0,31.39,258.02,-5.41,289.41
09-05-2005,1,Euro-Super 95,,202.56,564,448.82,-19.51,1215.38
09-05-2005,2,Automotive gas oil,,178.79,413,480.93,-20.2,1072.72
09-05-2005,3,Heating gas oil,,166.79,403.21,430.75,-7.62,1000.75
09-05-2005,5,LPG,,92.2,156.62,304.38,0,553.2
09-05-2005,6,Residual fuel oil,,53.86,166.84,371.73,-7.85,592.43
09-05-2005,8,Heavy fuel oil,,0,31.39,248.6,-9.42,279.99
16-05-2005,1,Euro-Super 95,,200.19,564,436.93,-14.26,1201.12
16-05-2005,2,Automotive gas oil,,177.1,413,472.52,-10.1,1062.62
16-05-2005,3,Heating gas oil,,164.39,403.21,418.74,-14.41,986.34
16-05-2005,5,LPG,,92.2,156.62,304.38,0,553.2
16-05-2005,6,Residual fuel oil,,52.57,166.84,358.86,-14.16,578.27
16-05-2005,8,Heavy fuel oil,,0,31.39,252.67,4.07,284.06
23-05-2005,1,Euro-Super 95,,197.71,564,424.55,-14.86,1186.26
23-05-2005,2,Automotive gas oil,,175.45,413,464.23,-9.94,1052.68
23-05-2005,3,Heating gas oil,,165.07,403.21,422.15,4.09,990.43
23-05-2005,5,LPG,,92.2,156.62,304.38,0,553.2
23-05-2005,6,Residual fuel oil,,53.25,166.84,365.7,7.52,585.79
23-05-2005,8,Heavy fuel oil,,0,31.39,260.94,8.27,292.33
30-05-2005,1,Euro-Super 95,,197.71,564,424.55,0,1186.26
30-05-2005,2,Automotive gas oil,,175.45,413,464.23,0,1052.68
30-05-2005,3,Heating gas oil,,166.83,403.21,430.96,10.57,1001
30-05-2005,5,LPG,,92.2,156.62,304.38,0,553.2
30-05-2005,6,Residual fuel oil,,54.01,166.84,373.23,8.29,594.08
30-05-2005,8,Heavy fuel oil,,0,31.39,255.83,-5.11,287.22
06-06-2005,1,Euro-Super 95,,199.64,564,434.22,11.6,1197.86
06-06-2005,2,Automotive gas oil,,179.09,413,482.46,21.87,1074.55
06-06-2005,3,Heating gas oil,,170.73,403.21,450.43,23.37,1024.37
06-06-2005,5,LPG,,92.2,156.62,304.38,0,553.2
06-06-2005,6,Residual fuel oil,,54.63,166.84,379.47,6.86,600.94
06-06-2005,8,Heavy fuel oil,,0,31.39,258.67,2.84,290.06
13-06-2005,1,Euro-Super 95,,202.71,564,449.55,18.4,1216.26
13-06-2005,2,Automotive gas oil,,183.72,413,505.63,27.8,1102.35
13-06-2005,3,Heating gas oil,,173.17,403.21,462.63,14.64,1039.01
13-06-2005,5,LPG,,92.2,156.62,304.38,0,553.2
13-06-2005,6,Residual fuel oil,,55.53,166.84,388.48,9.91,610.85
13-06-2005,8,Heavy fuel oil,,0,31.39,260.86,2.19,292.25
20-06-2005,1,Euro-Super 95,,202.74,564,449.7,0.18,1216.44
20-06-2005,2,Automotive gas oil,,184,413,507.03,1.68,1104.03
20-06-2005,3,Heating gas oil,,175,403.21,471.8,11,1050.01
20-06-2005,5,LPG,,92.2,156.62,304.38,0,553.2
20-06-2005,6,Residual fuel oil,,56.16,166.84,394.81,6.96,617.81
20-06-2005,8,Heavy fuel oil,,0,31.39,279.96,19.1,311.35
27-06-2005,1,Euro-Super 95,,205.2,564,461.99,14.75,1231.19
27-06-2005,2,Automotive gas oil,,186.81,413,521.04,16.82,1120.85
27-06-2005,3,Heating gas oil,,176.59,403.21,479.74,9.53,1059.54
27-06-2005,5,LPG,,92.2,156.62,304.38,0,553.2
27-06-2005,6,Residual fuel oil,,57.81,166.84,411.21,18.05,635.86
27-06-2005,8,Heavy fuel oil,,0,31.39,297.39,17.43,328.78
04-07-2005,1,Euro-Super 95,,207.63,564,474.16,14.6,1245.79
04-07-2005,2,Automotive gas oil,,188.51,413,529.54,10.2,1131.05
04-07-2005,3,Heating gas oil,,177.4,403.21,483.81,4.88,1064.42
04-07-2005,5,LPG,,92.24,156.62,304.58,0.24,553.44
04-07-2005,6,Residual fuel oil,,58.64,166.84,419.58,9.2,645.06
04-07-2005,8,Heavy fuel oil,,0,31.39,,-12.22,316.56
11-07-2005,1,Euro-Super 95,,207.69,564,474.46,0.36,1246.15
11-07-2005,2,Automotive gas oil,,188.66,413,530.31,0.92,1131.97
11-07-2005,3,Heating gas oil,,180.28,403.21,498.2,17.27,1081.69
11-07-2005,5,LPG,,92.24,156.62,304.58,0,553.44
11-07-2005,6,Residual fuel oil,,58.9,166.84,422.14,2.82,647.88
11-07-2005,8,Heavy fuel oil,,0,31.39,298.02,12.85,329.41
18-07-2005,1,Euro-Super 95,,207.95,564,475.72,1.52,1247.67
18-07-2005,2,Automotive gas oil,,188.89,413,531.48,1.4,1133.37
18-07-2005,3,Heating gas oil,,178.78,403.21,490.67,-9.03,1072.66
18-07-2005,5,LPG,,92.24,156.62,304.58,0,553.44
18-07-2005,6,Residual fuel oil,,58.65,166.84,419.67,-2.72,645.16
18-07-2005,8,Heavy fuel oil,,0,31.39,293.94,-4.08,325.33
25-07-2005,1,Euro-Super 95,,207.62,564,474.08,-1.97,1245.7
25-07-2005,2,Automotive gas oil,,188.69,413,530.44,-1.24,1132.13
25-07-2005,3,Heating gas oil,,176.11,403.21,477.37,-15.97,1056.69
